Pin;Pout;n
2.87615;2.80892;0.976625002
4.4899;4.38969;0.977681017
6.45916;6.32036;0.978511138
8.78718;8.60362;0.979110477
11.4665;11.2379;0.980063664
14.5261;14.2238;0.979189184
17.9009;17.5609;0.981006542
17.8976;17.5602;0.98114831
21.6429;21.25;0.981846241
25.7801;25.2895;0.980969818
30.2947;29.6804;0.979722526
35.0568;34.4242;0.981954999
40.2653;39.5174;0.981425694
45.7536;44.9641;0.982744527
