Pin;Pout;n
6.13797;5.94389;0.968380425
8.00788;7.76363;0.969498794
10.1215;9.82606;0.970810651
12.4749;12.1311;0.972440661
15.0903;14.6787;0.9727242
17.9684;17.4686;0.972184502
21.0319;20.5013;0.974771656
24.46;23.7759;0.972031889
28.0593;27.2934;0.972704237
31.8714;31.0537;0.974343769
36.0656;35.0564;0.972017657
