Freq;Voutdb;Voutrad
1.44877185354475e+00;5.05045782170221e-07;-7.87709064305182e-03
1.45211161758773e+00;5.07376922179495e-07;-7.89524922224645e-03
1.45545908058195e+00;5.09718976445769e-07;-7.91344966185871e-03
1.45881426027534e+00;5.12071773318755e-07;-7.93169205758832e-03
1.46217717445671e+00;5.14435349442887e-07;-7.94997650618197e-03
1.46554784095590e+00;5.16809714461430e-07;-7.96830310509446e-03
1.46892627764385e+00;5.19195294607089e-07;-7.98667195100897e-03
1.47231250243271e+00;5.21591895085719e-07;-8.00508314200531e-03
1.47570653327588e+00;5.23999319174519e-07;-8.02353677507365e-03
1.47910838816819e+00;5.26418160899164e-07;-8.04203294809849e-03
1.48251808514594e+00;5.28847706657363e-07;-8.06057175938238e-03
1.48593564228699e+00;5.31288749126235e-07;-8.07915330713850e-03
1.48936107771090e+00;5.33741351951379e-07;-8.09777768983909e-03
1.49279440957898e+00;5.36204699311801e-07;-8.11644500606012e-03
1.49623565609442e+00;5.38679844253017e-07;-8.13515535495702e-03
1.49968483550236e+00;5.41166242894362e-07;-8.15390883629469e-03
1.50314196609001e+00;5.43664153675570e-07;-8.17270554863000e-03
1.50660706618673e+00;5.46173811892519e-07;-8.19154559161091e-03
1.51008015416413e+00;5.48694662092613e-07;-8.21042906603053e-03
1.51356124843619e+00;5.51227321445381e-07;-8.22935607111857e-03
1.51705036745932e+00;5.53771726305204e-07;-8.24832670774252e-03
1.52054752973248e+00;5.56327888244001e-07;-8.26734107591211e-03
1.52405275379728e+00;5.58895612467626e-07;-8.28639927661149e-03
1.52756605823806e+00;5.61475406212283e-07;-8.30550141194462e-03
1.53108746168202e+00;5.64067061183242e-07;-8.32464758154155e-03
1.53461698279928e+00;5.66670768317318e-07;-8.34383788799591e-03
1.53815464030302e+00;5.69286111025063e-07;-8.36307243290811e-03
1.54170045294954e+00;5.71914063277143e-07;-8.38235131786933e-03
1.54525443953840e+00;5.74553691604620e-07;-8.40167464548805e-03
1.54881661891247e+00;5.77205956477577e-07;-8.42104251820616e-03
1.55238700995807e+00;5.79869908997839e-07;-8.44045503816980e-03
1.55596563160506e+00;5.82546800862362e-07;-8.45991230901857e-03
1.55955250282694e+00;5.85235766105128e-07;-8.47941443345170e-03
1.56314764264094e+00;5.87936939731961e-07;-8.49896151501442e-03
1.56675107010813e+00;5.90650645756858e-07;-8.51855365696374e-03
1.57036280433354e+00;5.93377198550538e-07;-8.53819096425547e-03
1.57398286446620e+00;5.96116015659241e-07;-8.55787354009294e-03
1.57761126969933e+00;5.98867394095793e-07;-8.57760148854420e-03
1.58124803927037e+00;6.01631627015713e-07;-8.59737491506393e-03
1.58489319246110e+00;6.04408608342973e-07;-8.61719392453076e-03
1.58854674859776e+00;6.07198413295100e-07;-8.63705862105216e-03
1.59220872705115e+00;6.10001219308321e-07;-8.65696911080207e-03
1.59587914723672e+00;6.12816791086740e-07;-8.67692549888913e-03
1.59955802861465e+00;6.15645583792875e-07;-8.69692789149397e-03
1.60324539069002e+00;6.18487254126161e-07;-8.71697639457301e-03
1.60694125301286e+00;6.21342037382469e-07;-8.73707111367661e-03
1.61064563517825e+00;6.24209974063537e-07;-8.75721215661981e-03
1.61435855682647e+00;6.27091185674604e-07;-8.77739962950271e-03
1.61808003764305e+00;6.29985598926776e-07;-8.79763363905048e-03
1.62181009735891e+00;6.32893522404805e-07;-8.81791429308863e-03
1.62554875575047e+00;6.35814857747283e-07;-8.83824169892460e-03
1.62929603263970e+00;6.38749807462950e-07;-8.85861596481668e-03
1.63305194789432e+00;6.41698155542457e-07;-8.87903719785121e-03
1.63681652142779e+00;6.44659986846599e-07;-8.89950550657284e-03
1.64058977319952e+00;6.47635569458378e-07;-8.92002100017989e-03
1.64437172321491e+00;6.50624970880700e-07;-8.94058378686642e-03
1.64816239152549e+00;6.53628046464439e-07;-8.96119397565471e-03
1.65196179822900e+00;6.56645045006049e-07;-8.98185167623160e-03
1.65576996346951e+00;6.59676007007266e-07;-9.00255699762543e-03
1.65958690743754e+00;6.62721065545257e-07;-9.02331004988013e-03
1.66341265037015e+00;6.65780047041074e-07;-9.04411094305663e-03
1.66724721255104e+00;6.68853061428028e-07;-9.06495978690997e-03
1.67109061431069e+00;6.71940324715437e-07;-9.08585669288276e-03
1.67494287602642e+00;6.75042027840111e-07;-9.10680177129085e-03
1.67880401812254e+00;6.78157563275778e-07;-9.12779513251547e-03
1.68267406107045e+00;6.81288026498338e-07;-9.14883688942903e-03
1.68655302538872e+00;6.84432576614292e-07;-9.16992715252022e-03
1.69044093164324e+00;6.87591886724142e-07;-9.19106603330462e-03
1.69433780044731e+00;6.90765513237273e-07;-9.21225364453414e-03
1.69824365246172e+00;6.93954009677590e-07;-9.23349009902713e-03
1.70215850839493e+00;6.97157106033409e-07;-9.25477550786469e-03
1.70608238900310e+00;7.00374948882476e-07;-9.27610998502692e-03
1.71001531509027e+00;7.03607846809539e-07;-9.29749364341542e-03
1.71395730750840e+00;7.06855524016949e-07;-9.31892659637697e-03
1.71790838715757e+00;7.10118183013440e-07;-9.34040895717926e-03
1.72186857498599e+00;7.13396024379091e-07;-9.36194084069107e-03
1.72583789199018e+00;7.16688934323255e-07;-9.38352236008168e-03
1.72981635921508e+00;7.19997092210808e-07;-9.40515363045401e-03
1.73380399775412e+00;7.23320368821862e-07;-9.42683476555582e-03
1.73780082874935e+00;7.26659024524795e-07;-9.44856588108036e-03
1.74180687339159e+00;7.30013117179232e-07;-9.47034709236059e-03
1.74582215292048e+00;7.33382687286904e-07;-9.49217851454717e-03
1.74984668862464e+00;7.36767769563581e-07;-9.51406026360552e-03
1.75388050184174e+00;7.40168497086423e-07;-9.53599245515585e-03
1.75792361395867e+00;7.43585068506853e-07;-9.55797520597271e-03
1.76197604641161e+00;7.47017310245922e-07;-9.58000863234375e-03
1.76603782068614e+00;7.50465316807696e-07;-9.60209285106273e-03
1.77010895831740e+00;7.53929470065800e-07;-9.62422797925731e-03
1.77418948089014e+00;7.57409353430785e-07;-9.64641413442281e-03
1.77827941003890e+00;7.60905545499062e-07;-9.66865143423503e-03
1.78237876744807e+00;7.64417490818039e-07;-9.69093999608919e-03
1.78648757485203e+00;7.67945856702244e-07;-9.71327993872296e-03
1.79060585403527e+00;7.71490778157491e-07;-9.73567138092676e-03
1.79473362683250e+00;7.75051690087915e-07;-9.75811443958344e-03
1.79887091512876e+00;7.78629115158937e-07;-9.78060923572577e-03
