Freq.;Voutdb;Voutrad
1.21059813355048e+00;6.99006105440520e-07;-9.42671038042402e-04
1.21338885046497e+00;7.02232569375756e-07;-9.44844130703567e-04
1.21618600064636e+00;7.05473928310632e-07;-9.47022232940204e-04
1.21898959892486e+00;7.08730245890739e-07;-9.49205356301382e-04
1.22179966016487e+00;7.12001595404942e-07;-9.51393512362405e-04
1.22461619926504e+00;7.15288046284796e-07;-9.53586712725363e-04
1.22743923115840e+00;7.18589664104545e-07;-9.55784969019235e-04
1.23026877081238e+00;7.21906522153054e-07;-9.57988292899633e-04
1.23310483322890e+00;7.25238689861877e-07;-9.60196696049155e-04
1.23594743344451e+00;7.28586238591222e-07;-9.62410190177237e-04
1.23879658653036e+00;7.31949239701300e-07;-9.64628787020396e-04
1.24165230759241e+00;7.35327760695009e-07;-9.66852498342335e-04
1.24451461177138e+00;7.38721878718521e-07;-9.69081335933592e-04
1.24738351424294e+00;7.42131663203390e-07;-9.71315311612036e-04
1.25025903021771e+00;7.45557185509823e-07;-9.73554437222821e-04
1.25314117494141e+00;7.48998522783993e-07;-9.75798724638335e-04
1.25602996369487e+00;7.52455738671489e-07;-9.78048185758446e-04
1.25892541179416e+00;7.55928914175791e-07;-9.80302832510255e-04
1.26182753459066e+00;7.59418122585761e-07;-9.82562676848546e-04
1.26473634747115e+00;7.62923437190262e-07;-9.84827730755682e-04
1.26765186585784e+00;7.66444931278154e-07;-9.87098006241558e-04
1.27057410520854e+00;7.69982680066953e-07;-9.89373515343551e-04
1.27350308101666e+00;7.73536756845521e-07;-9.91654270127365e-04
1.27643880881134e+00;7.77107236831374e-07;-9.93940282685987e-04
1.27938130415752e+00;7.80694201027990e-07;-9.96231565140480e-04
1.28233058265602e+00;7.84297720795576e-07;-9.98528129639938e-04
1.28528665994361e+00;7.87917873280302e-07;-1.00082998836128e-03
1.28824955169313e+00;7.91554735628336e-07;-1.00313715350972e-03
1.29121927361353e+00;7.95208384985848e-07;-1.00544963731842e-03
1.29419584144998e+00;7.98878898499008e-07;-1.00776745204879e-03
1.29717927098395e+00;8.02566355242638e-07;-1.01009060999052e-03
1.30016957803328e+00;8.06270832362907e-07;-1.01241912346175e-03
1.30316677845229e+00;8.09992407005985e-07;-1.01475300480889e-03
1.30617088813183e+00;8.13731160175347e-07;-1.01709226640688e-03
1.30918192299940e+00;8.17487172874472e-07;-1.01943692065902e-03
1.31219989901920e+00;8.21260520320873e-07;-1.02178697999752e-03
1.31522483219223e+00;8.25051285446681e-07;-1.02414245688301e-03
1.31825673855640e+00;8.28859547326718e-07;-1.02650336380490e-03
1.32129563418657e+00;8.32685388893115e-07;-1.02886971328147e-03
1.32434153519466e+00;8.36528889220694e-07;-1.03124151785979e-03
1.32739445772973e+00;8.40390127384276e-07;-1.03361879011578e-03
1.33045441797808e+00;8.44269190173300e-07;-1.03600154265474e-03
1.33352143216332e+00;8.48166160519898e-07;-1.03838978811040e-03
1.33659551654643e+00;8.52081115570234e-07;-1.04078353914630e-03
1.33967668742593e+00;8.56014142113748e-07;-1.04318280845452e-03
1.34276496113786e+00;8.59965321153914e-07;-1.04558760875708e-03
1.34586035405594e+00;8.63934739480171e-07;-1.04799795280461e-03
1.34896288259164e+00;8.67922481953302e-07;-1.05041385337782e-03
1.35207256319427e+00;8.71928627648127e-07;-1.05283532328631e-03
1.35518941235103e+00;8.75953265282738e-07;-1.05526237536981e-03
1.35831344658715e+00;8.79996477789263e-07;-1.05769502249715e-03
1.36144468246594e+00;8.84058357743103e-07;-1.06013327756683e-03
1.36458313658892e+00;8.88138982290422e-07;-1.06257715350747e-03
1.36772882559584e+00;8.92238444006621e-07;-1.06502666327732e-03
1.37088176616484e+00;8.96356829681136e-07;-1.06748181986438e-03
1.37404197501251e+00;9.00494222246093e-07;-1.06994263628683e-03
1.37720946889394e+00;9.04650714276893e-07;-1.07240912559256e-03
1.38038426460288e+00;9.08826388705661e-07;-1.07488130085986e-03
1.38356637897177e+00;9.13021340036452e-07;-1.07735917519687e-03
1.38675582887188e+00;9.17235653130046e-07;-1.07984276174227e-03
1.38995263121334e+00;9.21469420561842e-07;-1.08233207366486e-03
1.39315680294529e+00;9.25722725263964e-07;-1.08482712416380e-03
1.39636836105593e+00;9.29995667526430e-07;-1.08732792646877e-03
1.39958732257261e+00;9.34288332210018e-07;-1.08983449383962e-03
1.40281370456195e+00;9.38600806104162e-07;-1.09234683956735e-03
1.40604752412990e+00;9.42933189498878e-07;-1.09486497697317e-03
1.40928879842186e+00;9.47285573040908e-07;-1.09738891940912e-03
1.41253754462274e+00;9.51658041591030e-07;-1.09991868025813e-03
1.41579377995707e+00;9.56050693510605e-07;-1.10245427293371e-03
1.41905752168908e+00;9.60463619446373e-07;-1.10499571088072e-03
1.42232878712281e+00;9.64896917759694e-07;-1.10754300757468e-03
1.42560759360218e+00;9.69350677168655e-07;-1.11009617652202e-03
1.42889395851109e+00;9.73824994105958e-07;-1.11265523126093e-03
1.43218789927353e+00;9.78319963075655e-07;-1.11522018536037e-03
1.43548943335364e+00;9.82835682439103e-07;-1.11779105242054e-03
1.43879857825583e+00;9.87372244771696e-07;-1.12036784607316e-03
1.44211535152486e+00;9.91929748434792e-07;-1.12295057998150e-03
1.44543977074592e+00;9.96508284075129e-07;-1.12553926784015e-03
1.44877185354475e+00;1.00110795584003e-06;-1.12813392337509e-03
1.45211161758773e+00;1.00572885823354e-06;-1.13073456034447e-03
1.45545908058195e+00;1.01037108768836e-06;-1.13334119253763e-03
1.45881426027534e+00;1.01503474642315e-06;-1.13595383377618e-03
1.46217717445671e+00;1.01971993087063e-06;-1.13857249791299e-03
1.46554784095590e+00;1.02442674517810e-06;-1.14119719883351e-03
1.46892627764385e+00;1.02915527806365e-06;-1.14382795045492e-03
1.47231250243271e+00;1.03390564331786e-06;-1.14646476672638e-03
1.47570653327588e+00;1.03867793158749e-06;-1.14910766162943e-03
1.47910838816819e+00;1.04347224894849e-06;-1.15175664917763e-03
1.48251808514594e+00;1.04828869569087e-06;-1.15441174341713e-03
1.48593564228699e+00;1.05312737403331e-06;-1.15707295842619e-03
1.48936107771090e+00;1.05798839005176e-06;-1.15974030831576e-03
1.49279440957898e+00;1.06287183825028e-06;-1.16241380722901e-03
1.49623565609442e+00;1.06777783049079e-06;-1.16509346934204e-03
1.49968483550236e+00;1.07270646513464e-06;-1.16777930886366e-03
1.50314196609001e+00;1.07765784825782e-06;-1.17047134003508e-03
1.50660706618673e+00;1.08263209365090e-06;-1.17316957713081e-03
1.51008015416413e+00;1.08762929196061e-06;-1.17587403445769e-03
1.51356124843619e+00;1.09264955890621e-06;-1.17858472635624e-03
1.51705036745932e+00;1.09769299863499e-06;-1.18130166719945e-03
1.52054752973248e+00;1.10275971529428e-06;-1.18402487139379e-03
1.52405275379728e+00;1.10784982074601e-06;-1.18675435337892e-03
1.52756605823806e+00;1.11296342106613e-06;-1.18949012762751e-03
1.53108746168202e+00;1.11810062618793e-06;-1.19223220864622e-03
1.53461698279928e+00;1.12326154025873e-06;-1.19498061097436e-03
1.53815464030302e+00;1.12844627514044e-06;-1.19773534918542e-03
1.54170045294954e+00;1.13365494269499e-06;-1.20049643788606e-03
1.54525443953840e+00;1.13888765478432e-06;-1.20326389171682e-03
1.54881661891247e+00;1.14414451941304e-06;-1.20603772535211e-03
1.55238700995807e+00;1.14942564844309e-06;-1.20881795349968e-03
1.55596563160506e+00;1.15473114987907e-06;-1.21160459090223e-03
1.55955250282694e+00;1.16006114715485e-06;-1.21439765233508e-03
1.56314764264094e+00;1.16541574634638e-06;-1.21719715260863e-03
1.56675107010813e+00;1.17079505738694e-06;-1.22000310656716e-03
1.57036280433354e+00;1.17619919792441e-06;-1.22281552908901e-03
1.57398286446620e+00;1.18162828367803e-06;-1.22563443508695e-03
1.57761126969933e+00;1.18708243036704e-06;-1.22845983950819e-03
1.58124803927037e+00;1.19256174985335e-06;-1.23129175733433e-03
1.58489319246110e+00;1.19806636171350e-06;-1.23413020358146e-03
1.58854674859776e+00;1.20359638166674e-06;-1.23697519330051e-03
1.59220872705115e+00;1.20915192736094e-06;-1.23982674157698e-03
1.59587914723672e+00;1.21473311644400e-06;-1.24268486353093e-03
1.59955802861465e+00;1.22034006849244e-06;-1.24554957431765e-03
1.60324539069002e+00;1.22597289729685e-06;-1.24842088912721e-03
1.60694125301286e+00;1.23163172821973e-06;-1.25129882318471e-03
1.61064563517825e+00;1.23731667698030e-06;-1.25418339175045e-03
1.61435855682647e+00;1.24302787279839e-06;-1.25707461011961e-03
1.61808003764305e+00;1.24876542367859e-06;-1.25997249362315e-03
1.62181009735891e+00;1.25452946076937e-06;-1.26287705762682e-03
1.62554875575047e+00;1.26032009978995e-06;-1.26578831753229e-03
1.62929603263970e+00;1.26613747188881e-06;-1.26870628877632e-03
1.63305194789432e+00;1.27198169278517e-06;-1.27163098683161e-03
