time;V(in);V(n);V(n.p);V(p)
6.122459031522378e-06;2.224492e+00;3.611891e+00;2.223838e+00;1.388053e+00
6.297393224081216e-06;2.259479e+00;3.629383e+00;2.258825e+00;1.370558e+00
6.472327416640053e-06;2.294466e+00;3.646874e+00;2.293811e+00;1.353063e+00
9.999999999999999e-06;3.000000e+00;3.999648e+00;2.999336e+00;1.000312e+00
1.000026916811970e-05;2.999946e+00;3.999675e+00;2.999391e+00;1.000284e+00
1.000080750435909e-05;2.999839e+00;3.999727e+00;2.999501e+00;1.000226e+00
1.000188417683788e-05;2.999623e+00;3.999831e+00;2.999718e+00;1.000113e+00
1.000351992848699e-05;2.999296e+00;3.999976e+00;3.000023e+00;9.999528e-01
1.000545467725608e-05;2.998909e+00;4.000115e+00;3.000319e+00;9.997968e-01
1.000755686982816e-05;2.998489e+00;4.000206e+00;3.000517e+00;9.996890e-01
1.000997835403123e-05;2.998004e+00;4.000217e+00;3.000557e+00;9.996600e-01
1.001242783141270e-05;2.997514e+00;4.000115e+00;3.000369e+00;9.997455e-01
1.001566436541965e-05;2.996867e+00;3.999825e+00;2.999811e+00;1.000015e+00
1.001962824406151e-05;2.996074e+00;3.999319e+00;2.998818e+00;1.000501e+00
1.002488557996458e-05;2.995023e+00;3.998537e+00;2.997275e+00;1.001262e+00
1.002910764181380e-05;2.994179e+00;3.997907e+00;2.996028e+00;1.001879e+00
1.003309311394542e-05;2.993381e+00;3.997359e+00;2.994939e+00;1.002419e+00
1.003639398310942e-05;2.992721e+00;3.996953e+00;2.994131e+00;1.002821e+00
1.004024821770353e-05;2.991950e+00;3.996522e+00;2.993273e+00;1.003249e+00
1.004394294468694e-05;2.991211e+00;3.996134e+00;2.992499e+00;1.003635e+00
1.007126097626409e-05;2.985748e+00;3.993248e+00;2.986730e+00;1.006519e+00
1.008180204533754e-05;2.983639e+00;3.992136e+00;2.984503e+00;1.007633e+00
1.009433173789529e-05;2.981134e+00;3.990839e+00;2.981906e+00;1.008933e+00
1.011235442049604e-05;2.977529e+00;3.988994e+00;2.978213e+00;1.010782e+00
1.013232678847758e-05;2.973535e+00;3.986963e+00;2.974147e+00;1.012816e+00
1.015526980952875e-05;2.968946e+00;3.984646e+00;2.969511e+00;1.015135e+00
1.019653528100275e-05;2.960693e+00;3.980500e+00;2.961216e+00;1.019284e+00
1.023427811567434e-05;2.953144e+00;3.976718e+00;2.953650e+00;1.023068e+00
1.036076450262697e-05;2.927847e+00;3.964065e+00;2.928341e+00;1.035724e+00
1.100956153796597e-05;2.798088e+00;3.899184e+00;2.798583e+00;1.100601e+00
1.165835857330498e-05;2.668328e+00;3.834300e+00;2.668826e+00;1.165475e+00
1.230715560864399e-05;2.538569e+00;3.769415e+00;2.539070e+00;1.230346e+00
1.295595264398300e-05;2.408810e+00;3.704529e+00;2.409314e+00;1.295215e+00
1.360474967932201e-05;2.279050e+00;3.639640e+00;2.279560e+00;1.360080e+00
1.425354671466101e-05;2.149291e+00;3.574750e+00;2.149806e+00;1.424944e+00
1.490234375000002e-05;2.019531e+00;3.509858e+00;2.020054e+00;1.489804e+00
1.500000000000002e-05;2.000000e+00;3.500091e+00;2.000524e+00;1.499568e+00
1.500028170071164e-05;2.000056e+00;3.500063e+00;2.000465e+00;1.499598e+00
1.500084510213488e-05;2.000169e+00;3.500008e+00;2.000347e+00;1.499660e+00
1.500197190498135e-05;2.000394e+00;3.499899e+00;2.000115e+00;1.499784e+00
1.500360617611731e-05;2.000721e+00;3.499755e+00;1.999804e+00;1.499951e+00
1.500552403564270e-05;2.001105e+00;3.499618e+00;1.999503e+00;1.500115e+00
1.500762546014467e-05;2.001525e+00;3.499529e+00;1.999297e+00;1.500232e+00
1.501003538873473e-05;2.002007e+00;3.499521e+00;1.999249e+00;1.500272e+00
1.501251642347089e-05;2.002503e+00;3.499629e+00;1.999433e+00;1.500195e+00
1.501576595137386e-05;2.003153e+00;3.499925e+00;1.999989e+00;1.499937e+00
1.501978004577772e-05;2.003956e+00;3.500445e+00;2.000987e+00;1.499458e+00
1.502380161841971e-05;2.004760e+00;3.501053e+00;2.002169e+00;1.498884e+00
1.503168507670100e-05;2.006337e+00;3.502223e+00;2.004469e+00;1.497754e+00
1.503615902631525e-05;2.007232e+00;3.502793e+00;2.005598e+00;1.497195e+00
1.504080774403086e-05;2.008162e+00;3.503320e+00;2.006646e+00;1.496675e+00
1.504713864056355e-05;2.009428e+00;3.503987e+00;2.007975e+00;1.496012e+00
1.506607704181130e-05;2.013215e+00;3.505988e+00;2.011978e+00;1.494010e+00
1.507686308698978e-05;2.015373e+00;3.507138e+00;2.014280e+00;1.492858e+00
1.508925846993324e-05;2.017852e+00;3.508432e+00;2.016875e+00;1.491557e+00
1.510262183872105e-05;2.020524e+00;3.509806e+00;2.019628e+00;1.490178e+00
1.511842798626957e-05;2.023686e+00;3.511419e+00;2.022860e+00;1.488559e+00
1.513750750607063e-05;2.027502e+00;3.513354e+00;2.026734e+00;1.486620e+00
1.517027641751272e-05;2.034055e+00;3.516656e+00;2.033342e+00;1.483313e+00
1.521124041472749e-05;2.042248e+00;3.520767e+00;2.041568e+00;1.479199e+00
1.525155329967805e-05;2.050311e+00;3.524804e+00;2.049644e+00;1.475160e+00
1.546905440244030e-05;2.093811e+00;3.546554e+00;2.093149e+00;1.453404e+00
1.568655550520254e-05;2.137311e+00;3.568303e+00;2.136653e+00;1.431650e+00
1.590405660796479e-05;2.180811e+00;3.590052e+00;2.180156e+00;1.409896e+00
1.612155771072703e-05;2.224311e+00;3.611801e+00;2.223658e+00;1.388143e+00
1.633905881348928e-05;2.267812e+00;3.633550e+00;2.267159e+00;1.366391e+00
1.655655991625153e-05;2.311312e+00;3.655298e+00;2.310658e+00;1.344640e+00
1.677406101901377e-05;2.354812e+00;3.677047e+00;2.354157e+00;1.322889e+00
2.000000000000002e-05;3.000000e+00;3.999648e+00;2.999336e+00;1.000312e+00
2.000026574956036e-05;2.999947e+00;3.999674e+00;2.999390e+00;1.000284e+00
2.000079724868104e-05;2.999840e+00;3.999727e+00;2.999499e+00;1.000227e+00
2.000186024692241e-05;2.999628e+00;3.999829e+00;2.999714e+00;1.000115e+00
2.000349440003789e-05;2.999301e+00;3.999974e+00;3.000019e+00;9.999552e-01
2.000543421564922e-05;2.998913e+00;4.000114e+00;3.000316e+00;9.997983e-01
2.000753513452848e-05;2.998493e+00;4.000206e+00;3.000516e+00;9.996898e-01
2.000995867456157e-05;2.998008e+00;4.000217e+00;3.000558e+00;9.996598e-01
2.001240079669931e-05;2.997520e+00;4.000116e+00;3.000372e+00;9.997439e-01
2.001563362121976e-05;2.996873e+00;3.999829e+00;2.999818e+00;1.000011e+00
2.001958203985217e-05;2.996083e+00;3.999325e+00;2.998831e+00;1.000494e+00
2.002484629751036e-05;2.995031e+00;3.998543e+00;2.997287e+00;1.001256e+00
2.002908378246874e-05;2.994183e+00;3.997910e+00;2.996035e+00;1.001875e+00
2.003307011985121e-05;2.993386e+00;3.997362e+00;2.994945e+00;1.002416e+00
2.003637019959750e-05;2.992726e+00;3.996955e+00;2.994137e+00;1.002819e+00
2.004022483225031e-05;2.991955e+00;3.996525e+00;2.993279e+00;1.003246e+00
2.004391510747305e-05;2.991217e+00;3.996137e+00;2.992505e+00;1.003632e+00
2.007120500070185e-05;2.985759e+00;3.993254e+00;2.986742e+00;1.006513e+00
2.008174085703636e-05;2.983652e+00;3.992143e+00;2.984516e+00;1.007627e+00
2.009427208092967e-05;2.981146e+00;3.990845e+00;2.981919e+00;1.008927e+00
2.011218799516456e-05;2.977562e+00;3.989011e+00;2.978246e+00;1.010765e+00
2.013228891570156e-05;2.973542e+00;3.986967e+00;2.974155e+00;1.012812e+00
2.015505725604762e-05;2.968989e+00;3.984668e+00;2.969554e+00;1.015113e+00
2.019655160205107e-05;2.960690e+00;3.980498e+00;2.961213e+00;1.019285e+00
2.023408865962614e-05;2.953182e+00;3.976737e+00;2.953688e+00;1.023049e+00
2.036037944082888e-05;2.927924e+00;3.964104e+00;2.928418e+00;1.035686e+00
2.100923148499619e-05;2.798154e+00;3.899217e+00;2.798649e+00;1.100568e+00
2.165808352916350e-05;2.668383e+00;3.834328e+00;2.668881e+00;1.165447e+00
2.230693557333081e-05;2.538613e+00;3.769438e+00;2.539114e+00;1.230324e+00
2.295578761749811e-05;2.408842e+00;3.704545e+00;2.409347e+00;1.295198e+00
