Freq;Voutdb;Voutrad
1.26765186585784e+00;1.37119349171662e-07;-2.97451976198177e-03
1.27057410520854e+00;1.37752148559821e-07;-2.98137673805522e-03
1.27350308101666e+00;1.38387966292856e-07;-2.98824952128083e-03
1.27643880881134e+00;1.39026920018716e-07;-2.99513814791186e-03
1.27938130415752e+00;1.39668624006420e-07;-3.00204265444409e-03
1.28233058265602e+00;1.40313190117950e-07;-3.00896307762091e-03
1.28528665994361e+00;1.40960832434001e-07;-3.01589945393591e-03
1.28824955169313e+00;1.41611562526501e-07;-3.02285182021308e-03
1.29121927361353e+00;1.42265098811834e-07;-3.02982021327709e-03
1.29419584144998e+00;1.42921950454894e-07;-3.03680467043825e-03
1.29717927098395e+00;1.43581535001898e-07;-3.04380522819544e-03
1.30016957803328e+00;1.44244162966287e-07;-3.05082192394270e-03
1.30316677845229e+00;1.44910152576117e-07;-3.05785479499186e-03
1.30617088813183e+00;1.45578915591644e-07;-3.06490387808447e-03
1.30918192299940e+00;1.46250864745015e-07;-3.07196921127077e-03
1.31219989901920e+00;1.46926019322779e-07;-3.07905083210754e-03
1.31522483219223e+00;1.47604186459444e-07;-3.08614877700601e-03
1.31825673855640e+00;1.48285487660270e-07;-3.09326308483610e-03
1.32129563418657e+00;1.48969930639874e-07;-3.10039379274509e-03
1.32434153519466e+00;1.49657536613459e-07;-3.10754093869847e-03
1.32739445772973e+00;1.50348214934246e-07;-3.11470456041822e-03
1.33045441797808e+00;1.51042183540237e-07;-3.12188469603353e-03
1.33352143216332e+00;1.51739255351905e-07;-3.12908138350982e-03
1.33659551654643e+00;1.52439744739998e-07;-3.13629466114154e-03
1.33967668742593e+00;1.53143566843701e-07;-3.14352456738427e-03
1.34276496113786e+00;1.53850339789343e-07;-3.15077113971323e-03
1.34586035405594e+00;1.54560472451760e-07;-3.15803441740157e-03
1.34896288259164e+00;1.55273887684757e-07;-3.16531443866140e-03
1.35207256319427e+00;1.55990691564352e-07;-3.17261124210961e-03
1.35518941235103e+00;1.56710704725638e-07;-3.17992486644999e-03
1.35831344658715e+00;1.57433946455164e-07;-3.18725535046461e-03
1.36144468246594e+00;1.58160623119004e-07;-3.19460273260520e-03
1.36458313658892e+00;1.58890655642304e-07;-3.20196705272342e-03
1.36772882559584e+00;1.59624159744360e-07;-3.20934834918793e-03
1.37088176616484e+00;1.60360948345643e-07;-3.21674666127405e-03
1.37404197501251e+00;1.61101038804049e-07;-3.22416202825242e-03
1.37720946889394e+00;1.61844745490323e-07;-3.23159448923251e-03
1.38038426460288e+00;1.62591686530797e-07;-3.23904408406112e-03
1.38356637897177e+00;1.63342274657616e-07;-3.24651085200743e-03
1.38675582887188e+00;1.64096226358509e-07;-3.25399483250798e-03
1.38995263121334e+00;1.64853458701317e-07;-3.26149606532825e-03
1.39315680294529e+00;1.65614392132804e-07;-3.26901459014454e-03
1.39636836105593e+00;1.66379132728990e-07;-3.27655044761963e-03
1.39958732257261e+00;1.67147003532004e-07;-3.28410367628951e-03
1.40281370456195e+00;1.67918421131305e-07;-3.29167431714595e-03
1.40604752412990e+00;1.68693400956128e-07;-3.29926241002793e-03
1.40928879842186e+00;1.69472157087168e-07;-3.30686799559670e-03
1.41253754462274e+00;1.70254409869464e-07;-3.31449111386352e-03
1.41579377995707e+00;1.71040271164998e-07;-3.32213180466900e-03
1.41905752168908e+00;1.71829860550372e-07;-3.32979010965143e-03
1.42232878712281e+00;1.72622994803372e-07;-3.33746606849640e-03
1.42560759360218e+00;1.73419793500599e-07;-3.34515972267934e-03
1.42889395851109e+00;1.74220266285326e-07;-3.35287111253414e-03
1.43218789927353e+00;1.75024538520121e-07;-3.36060027872041e-03
1.43548943335364e+00;1.75832220616695e-07;-3.36834726238769e-03
1.43879857825583e+00;1.76643733021813e-07;-3.37611210468902e-03
1.44211535152486e+00;1.77459291744822e-07;-3.38389484726428e-03
1.44543977074592e+00;1.78278312403288e-07;-3.39169553044556e-03
1.44877185354475e+00;1.79101119011233e-07;-3.39951419620164e-03
1.45211161758773e+00;1.79927919863383e-07;-3.40735088584356e-03
1.45545908058195e+00;1.80758338872034e-07;-3.41520564068847e-03
1.45881426027534e+00;1.81592692336587e-07;-3.42307850302929e-03
1.46217717445671e+00;1.82431095976334e-07;-3.43096951401257e-03
1.46554784095590e+00;1.83272969266152e-07;-3.43887871577437e-03
1.46892627764385e+00;1.84119031594314e-07;-3.44680614995161e-03
1.47231250243271e+00;1.84968694721077e-07;-3.45475185883844e-03
1.47570653327588e+00;1.85822683820679e-07;-3.46271588439904e-03
1.47910838816819e+00;1.86680219716544e-07;-3.47069826876783e-03
1.48251808514594e+00;1.87542008296359e-07;-3.47869905505366e-03
1.48593564228699e+00;1.88407677329729e-07;-3.48671828440451e-03
1.48936107771090e+00;1.89277438968693e-07;-3.49475600026108e-03
1.49279440957898e+00;1.90151019344253e-07;-3.50281224524175e-03
1.49623565609442e+00;1.91028632537102e-07;-3.51088706114766e-03
1.49968483550236e+00;1.91910299762442e-07;-3.51898049190800e-03
1.50314196609001e+00;1.92796331533709e-07;-3.52709257981409e-03
1.50660706618673e+00;1.93685958317601e-07;-3.53522336781454e-03
1.51008015416413e+00;1.94580090439225e-07;-3.54337289951003e-03
1.51356124843619e+00;1.95478149302112e-07;-3.55154121817335e-03
1.51705036745932e+00;1.96380653714427e-07;-3.55972836609272e-03
1.52054752973248e+00;1.97287223731154e-07;-3.56793438752763e-03
1.52405275379728e+00;1.98197679987389e-07;-3.57615932575102e-03
1.52756605823806e+00;1.99112541291294e-07;-3.58440322452149e-03
1.53108746168202e+00;2.00031522201945e-07;-3.59266612760844e-03
1.53461698279928e+00;2.00954848371963e-07;-3.60094807811577e-03
1.53815464030302e+00;2.01882434940530e-07;-3.60924912111731e-03
1.54170045294954e+00;2.02814306980160e-07;-3.61756929988292e-03
1.54525443953840e+00;2.03750477991435e-07;-3.62590865834019e-03
1.54881661891247e+00;2.04690672176705e-07;-3.63426724074386e-03
1.55238700995807e+00;2.05635605066931e-07;-3.64264509249060e-03
1.55596563160506e+00;2.06584904431719e-07;-3.65104225668567e-03
1.55955250282694e+00;2.07538381262889e-07;-3.65945877807556e-03
1.56314764264094e+00;2.08496359574460e-07;-3.66789470222122e-03
1.56675107010813e+00;2.09458663858836e-07;-3.67635007255525e-03
1.57036280433354e+00;2.10425706848161e-07;-3.68482493512875e-03
1.57398286446620e+00;2.11396719009135e-07;-3.69331933386898e-03
1.57761126969933e+00;2.12372809318314e-07;-3.70183331449688e-03
1.58124803927037e+00;2.13353003804981e-07;-3.71036692159418e-03
1.58489319246110e+00;2.14337827063262e-07;-3.71892020088314e-03
1.58854674859776e+00;2.15326995580888e-07;-3.72749319743116e-03
1.59220872705115e+00;2.16320929804622e-07;-3.73608595696362e-03
1.59587914723672e+00;2.17319554516923e-07;-3.74469852454642e-03
1.59955802861465e+00;2.18322487844121e-07;-3.75333094623190e-03
1.60324539069002e+00;2.19330152161635e-07;-3.76198326758104e-03
1.60694125301286e+00;2.20342466465958e-07;-3.77065553463995e-03
1.61064563517825e+00;2.21359656409709e-07;-3.77934779378534e-03
1.61435855682647e+00;2.22381241757821e-07;-3.78806008992325e-03
1.61808003764305e+00;2.23408044117273e-07;-3.79679247106227e-03
1.62181009735891e+00;2.24439081802727e-07;-3.80554498145684e-03
1.62554875575047e+00;2.25474981627019e-07;-3.81431766878817e-03
1.62929603263970e+00;2.26515766734006e-07;-3.82311057926847e-03
1.63305194789432e+00;2.27561253901471e-07;-3.83192375910982e-03
1.63681652142779e+00;2.28611767143435e-07;-3.84075725599650e-03
1.64058977319952e+00;2.29666830082138e-07;-3.84961111597764e-03
1.64437172321491e+00;2.30727260467249e-07;-3.85848538657170e-03
1.64816239152549e+00;2.31791991752616e-07;-3.86738011382755e-03
1.65196179822900e+00;2.32861936191998e-07;-3.87629534575064e-03
1.65576996346951e+00;2.33936819916398e-07;-3.88523112970249e-03
1.65958690743754e+00;2.35016463560912e-07;-3.89418751254814e-03
1.66341265037015e+00;2.36101395576974e-07;-3.90316454196721e-03
1.66724721255104e+00;2.37191033510809e-07;-3.91216226547913e-03
1.67109061431069e+00;2.38286002246596e-07;-3.92118073109084e-03
1.67494287602642e+00;2.39386024058031e-07;-3.93021998648951e-03
1.67880401812254e+00;2.40490827004773e-07;-3.93928007935280e-03
1.68267406107045e+00;2.41600727386221e-07;-3.94836105785988e-03
1.68655302538872e+00;2.42716053073702e-07;-3.95746297017086e-03
1.69044093164324e+00;2.43836325760805e-07;-3.96658586446771e-03
1.69433780044731e+00;2.44961975537565e-07;-3.97572978957469e-03
1.69824365246172e+00;2.46092614744349e-07;-3.98489479349666e-03
1.70215850839493e+00;2.47228476748397e-07;-3.99408092473528e-03
1.70608238900310e+00;2.48369683054963e-07;-4.00328823244033e-03
1.71001531509027e+00;2.49516056227797e-07;-4.01251676462315e-03
1.71395730750840e+00;2.50667821919516e-07;-4.02176657141381e-03
1.71790838715757e+00;2.51824804622526e-07;-4.03103770114935e-03
1.72186857498599e+00;2.52987326422188e-07;-4.04033020281520e-03
1.72583789199018e+00;2.54154918655365e-07;-4.04964412605738e-03
1.72981635921508e+00;2.55327999840164e-07;-4.05897952002422e-03
1.73380399775412e+00;2.56506695339148e-07;-4.06833643419437e-03
1.73780082874935e+00;2.57690532631872e-07;-4.07771491821225e-03
1.74180687339159e+00;2.58880130816548e-07;-4.08711502253383e-03
1.74582215292048e+00;2.60075025087348e-07;-4.09653679565881e-03
1.74984668862464e+00;2.61275335020874e-07;-4.10598028820896e-03
1.75388050184174e+00;2.62481388488451e-07;-4.11544555047725e-03
1.75792361395867e+00;2.63692807473721e-07;-4.12493263259985e-03
1.76197604641161e+00;2.64910018209410e-07;-4.13444158404919e-03
1.76603782068614e+00;2.66132850973887e-07;-4.14397245675920e-03
1.77010895831740e+00;2.67361323125041e-07;-4.15352530004086e-03
1.77418948089014e+00;2.68595469378660e-07;-4.16310016467873e-03
1.77827941003890e+00;2.69835116155802e-07;-4.17269710211659e-03
1.78237876744807e+00;2.71080681974572e-07;-4.18231616247826e-03
1.78648757485203e+00;2.72331898751940e-07;-4.19195739704305e-03
1.79060585403527e+00;2.73588691270364e-07;-4.20162085675989e-03
1.79473362683250e+00;2.74851884994126e-07;-4.21130659355203e-03
1.79887091512876e+00;2.76120212796974e-07;-4.22101465755839e-03
1.80301774085955e+00;2.77394893588783e-07;-4.23074510216960e-03
1.80717412601090e+00;2.78675159764912e-07;-4.24049797670423e-03
1.81134009261958e+00;2.79961636209536e-07;-4.25027333439613e-03
1.81551566277311e+00;2.81253948763609e-07;-4.26007122635538e-03
1.81970085860996e+00;2.82552228575659e-07;-4.26989170500135e-03
1.82389570231961e+00;2.83856402356797e-07;-4.27973482226165e-03
1.82810021614272e+00;2.85166597398243e-07;-4.28960062973668e-03
1.83231442237119e+00;2.86482740411109e-07;-4.29948918082760e-03
1.83653834334832e+00;2.87805157338065e-07;-4.30940052713172e-03
1.84077200146893e+00;2.89133381444630e-07;-4.31933472123260e-03
1.84501541917945e+00;2.90468135976377e-07;-4.32929181652381e-03
1.84926861897805e+00;2.91808851980116e-07;-4.33927186477305e-03
1.85353162341479e+00;2.93155760894430e-07;-4.34927492003456e-03
1.85780445509167e+00;2.94509082585971e-07;-4.35930103455541e-03
1.86208713666284e+00;2.95868454467619e-07;-4.36935026108524e-03
1.86637969083464e+00;2.97234001901939e-07;-4.37942265399915e-03
1.87068214036577e+00;2.98605950541548e-07;-4.38951826604229e-03
1.87499450806739e+00;2.99984234812176e-07;-4.39963715061263e-03
